user_id,matches_1,matches_2,matches_3,matches_4,matches_5,matches_6,matches_7,matches_8,matches_9,matches_10,matches_11,matches_12,likes_1,likes_2,likes_3,likes_4,likes_5,likes_6,likes_7,likes_8,likes_9,likes_10,likes_11,likes_12,passes_1,passes_2,passes_3,passes_4,passes_5,passes_6,passes_7,passes_8,passes_9,passes_10,passes_11,passes_12
16a22fdad3de24d72d8509711c454ffb,224,360,408,592,640,276,228,280,344,276,272,216,4352,5044,3348,5460,4464,4264,4308,5696,5288,2928,4032,3832,4400,4680,2424,5592,3912,5448,4524,6176,5024,2608,3284,3152
2f051007e7936f333b5a19bab9f9d5c4,89,4,444,363,644,278,186,233,205,55,222,64,150,1,497,395,978,484,286,478,462,173,356,145,6025,5,14004,16669,2017,528,438,557,898,434,106,48
4afedf50a0e49727cc88dd23362c0074,8,8,2,148,496,221,734,148,133,156,446,250,345,197,14,10413,6932,2383,3677,107,436,529,2315,1028,372,617,31,33274,12842,7907,7389,194,871,4198,9325,3231
53f6bdb7eeb0c0eedf8dbf5c271ff887,207,99,391,1272,202,165,361,192,243,388,434,242,2110,944,2400,2606,597,650,1511,756,1720,1332,1472,1050,5694,2081,4109,5241,1401,2127,3258,1823,3588,3423,2812,1850
7c135f11a272156b4c3bc01427388f3d,342,114,19,928,316,170,76,138,117,24,0,0,897,121,16,2638,777,279,78,215,224,22,0,0,1865,432,60,7524,3260,1165,560,1414,1045,172,0,0
cef50ce50692bb1260ae383c8e2a029c,154,230,266,231,255,249,222,310,187,329,250,54,2215,2439,2612,1514,1868,2284,2965,3318,1759,3310,2379,463,3347,3375,6252,6969,6158,6297,9706,11266,4603,13085,8066,2839
d714c8f0e83db92be0499712596f5449,0,84,306,393,193,600,99,79,533,52,5,4,0,283,791,591,286,1122,139,181,740,55,5,17,0,366,1185,1049,361,1652,138,250,963,61,17,17
